"file_name","has_bad_site_id","has_values_above_2000","has_negatives","site_ids"
"NO2_1974",FALSE,FALSE,TRUE,"030115, 030116, 050102, 050104, 050304, 060204, 060401, 060410, 060411, 070101, 090122"
"NO2_1975",FALSE,FALSE,TRUE,"030115, 030116, 050102, 050104, 050110, 050111, 050112, 050304, 060101, 060204, 060401, 060402, 060403, 060410, 060411, 060501, 060505, 060602, 060901, 061001, 061201, 070101, 090114, 090122, 090219"
"NO2_1976",FALSE,FALSE,TRUE,"030115, 030116, 050102, 050104, 050110, 050111, 050112, 050113, 050304, 060104, 060204, 060401, 060402, 060403, 060410, 060411, 060412, 060413, 060501, 060505, 060602, 060901, 061001, 061201, 061301, 061501, 070101, 070118, 090114, 090122, 090219, 090222"
"NO2_1977",FALSE,FALSE,TRUE,"030115, 030116, 050102, 050104, 050109, 050110, 050111, 050112, 050113, 050115, 050203, 050304, 060101, 060104, 060204, 060401, 060402, 060403, 060410, 060411, 060412, 060413, 060414, 060501, 060505, 060602, 060901, 061001, 061201, 061301, 061501, 061601, 070101, 070118, 090122, 090130, 090222, 100106, 100108, 100109, 100110, 100302"
"NO2_1978",FALSE,FALSE,TRUE,"030115, 030116, 050102, 050104, 050109, 050110, 050111, 050112, 050113, 050115, 050116, 050203, 050304, 060101, 060104, 060401, 060402, 060403, 060410, 060411, 060412, 060413, 060414, 060415, 060501, 060505, 060602, 060901, 061001, 061004, 061201, 061301, 061501, 061601, 070118, 070119, 090122, 090130, 090222, 100106, 100108, 100109, 100110, 100111, 100302"
"NO2_1979",FALSE,FALSE,TRUE,"030115, 030116, 050102, 050104, 050109, 050110, 050111, 050112, 050113, 050115, 050116, 050203, 050304, 060104, 060204, 060401, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060501, 060505, 060602, 060901, 061004, 061201, 061301, 061501, 061601, 061701, 070118, 070119, 080109, 090122, 090130, 090222, 090227, 100106, 100108, 100109, 100110, 100111, 100302"
"NO2_1980",FALSE,FALSE,TRUE,"030115, 030116, 040202, 050102, 050104, 050109, 050110, 050111, 050112, 050113, 050115, 050116, 050203, 050304, 060101, 060104, 060204, 060401, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060501, 060505, 060602, 060901, 061004, 061201, 061301, 061501, 061601, 061602, 061701, 062601, 063001, 070118, 070119, 080109, 090122, 090130, 090222, 100106, 100108, 100110, 100111, 100112, 100302"
"NO2_1981",FALSE,FALSE,TRUE,"030115, 030116, 040202, 050102, 050104, 050109, 050110, 050111, 050112, 050113, 050115, 050116, 050203, 050304, 060101, 060104, 060105, 060204, 060401, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060417, 060418, 060501, 060505, 060602, 060901, 061004, 061201, 061301, 061501, 061602, 061701, 062601, 063001, 070118, 070119, 090122, 090130, 090222, 090227, 100106, 100108, 100111, 100112, 100302"
"NO2_1982",FALSE,FALSE,TRUE,"030115, 030116, 040202, 050102, 050103, 050104, 050108, 050109, 050110, 050112, 050113, 050115, 050116, 050203, 050304, 060101, 060104, 060105, 060204, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060417, 060418, 060501, 060505, 060602, 060901, 061004, 061201, 061301, 061501, 061602, 061701, 062601, 062701, 063001, 063301, 070118, 070119, 080109, 090122, 090130, 090222, 090227, 100106, 100108, 100110, 100111, 100112, 100302"
"NO2_1983",FALSE,FALSE,TRUE,"030115, 030116, 040202, 050102, 050103, 050104, 050108, 050109, 050110, 050112, 050113, 050115, 050116, 050203, 050304, 050307, 060101, 060104, 060105, 060204, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060417, 060418, 060501, 060505, 060602, 060706, 060901, 061004, 061201, 061301, 061501, 061602, 061701, 062601, 062701, 063001, 063201, 070118, 070119, 080109, 090122, 090130, 090222, 090227, 100106, 100108, 100110, 100111, 100112, 100303"
"NO2_1984",FALSE,FALSE,TRUE,"030115, 030116, 040202, 050102, 050103, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050203, 050307, 060101, 060104, 060204, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060417, 060418, 060501, 060505, 060511, 060602, 060607, 060706, 060901, 061004, 061201, 061301, 061501, 061602, 061701, 062601, 062701, 063001, 063201, 063301, 063401, 063501, 070118, 070119, 080109, 080209, 090122, 090130, 090222, 090227, 100106, 100108, 100110, 100111, 100303, 119001"
"NO2_1985",FALSE,FALSE,TRUE,"030115, 030116, 040202, 050102, 050103, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050203, 050307, 060101, 060104, 060204, 060402, 060403, 060410, 060412, 060413, 060414, 060415, 060417, 060418, 060419, 060501, 060511, 060515, 060602, 060607, 060706, 060901, 061004, 061201, 061301, 061501, 061602, 061701, 062601, 062701, 063001, 063201, 063301, 063401, 070118, 070119, 080209, 090122, 090130, 090222, 090227, 100108, 100110, 100111, 100112, 100303, 119001"
"NO2_1986",FALSE,FALSE,TRUE,"030115, 040202, 050102, 050103, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050203, 050307, 060104, 060204, 060402, 060403, 060410, 060413, 060414, 060415, 060417, 060418, 060419, 060501, 060511, 060515, 060607, 060706, 060901, 061004, 061201, 061301, 061501, 061602, 061701, 062601, 062701, 063001, 063201, 063301, 063401, 063501, 070118, 070119, 080109, 080209, 090122, 090130, 090222, 090701, 100108, 100111, 100120, 100121, 100122, 100124, 100126, 100127, 100128, 100130, 100303, 101101, 101201, 119001"
"NO2_1987",FALSE,FALSE,TRUE,"030115, 030117, 040202, 040203, 050102, 050103, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050203, 050307, 060104, 060204, 060403, 060410, 060413, 060415, 060417, 060418, 060419, 060501, 060511, 060512, 060515, 060607, 060706, 060707, 060807, 060901, 061004, 061201, 061501, 061602, 061701, 062401, 062601, 062701, 063001, 063201, 063301, 070118, 070119, 080110, 080209, 090122, 090701, 100111, 100118, 100120, 100122, 100124, 100125, 100126, 100127, 100128, 100130, 101201, 119001"
"NO2_1988",FALSE,FALSE,TRUE,"030115, 030117, 040202, 040203, 050102, 050103, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 060101, 060104, 060204, 060403, 060410, 060413, 060415, 060417, 060418, 060419, 060420, 060421, 060422, 060423, 060511, 060512, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061501, 061602, 061701, 062001, 062401, 062601, 062701, 063001, 063201, 063301, 070118, 070119, 080110, 080209, 090122, 090130, 090701, 100108, 100120, 100122, 100126, 100127, 100128, 100130, 101201, 119001"
"NO2_1989",FALSE,FALSE,TRUE,"030115, 030117, 040202, 040203, 050102, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 060101, 060104, 060204, 060402, 060403, 060410, 060413, 060415, 060417, 060418, 060419, 060420, 060421, 060422, 060423, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061501, 061602, 061701, 062001, 062401, 062601, 062701, 063001, 063201, 063301, 070118, 070119, 080209, 090122, 090130, 090701, 100110, 100111, 100118, 100122, 100124, 100126, 100127, 100128, 101201, 119001"
"NO2_1990",FALSE,FALSE,TRUE,"010102, 030115, 030117, 040202, 040203, 050102, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 060101, 060104, 060204, 060402, 060403, 060410, 060413, 060415, 060417, 060418, 060419, 060420, 060421, 060422, 060423, 060424, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061501, 061502, 061602, 061701, 062001, 062401, 062601, 062701, 063001, 063201, 063301, 070118, 070119, 080110, 090122, 090701, 100108, 100111, 100122, 100126, 100127, 100128, 101101, 101201, 119001"
"NO2_1991",FALSE,FALSE,TRUE,"010102, 030115, 040202, 040203, 040206, 050102, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 050309, 060104, 060204, 060402, 060403, 060410, 060413, 060415, 060418, 060419, 060420, 060421, 060422, 060423, 060424, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061502, 061602, 061701, 062001, 062401, 062601, 062701, 063001, 063201, 070118, 070119, 080110, 090121, 090122, 090218, 090222, 090601, 090701, 100112, 100121, 100122, 100126, 100127, 100128, 101101, 101201, 119001"
"NO2_1992",FALSE,FALSE,TRUE,"010102, 030115, 040203, 040206, 050102, 050103, 050104, 050109, 050110, 050112, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 050309, 060101, 060104, 060204, 060403, 060410, 060413, 060415, 060418, 060419, 060420, 060421, 060422, 060423, 060424, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061502, 061602, 061701, 062001, 062401, 062601, 062701, 063001, 063201, 070118, 070119, 080110, 080209, 080211, 080801, 090121, 090130, 090601, 090701, 100108, 100122, 100126, 100128, 101101"
"NO2_1993",FALSE,FALSE,TRUE,"010102, 030115, 030118, 040203, 040206, 050102, 050103, 050104, 050109, 050110, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 050309, 060104, 060204, 060403, 060410, 060413, 060415, 060419, 060420, 060421, 060422, 060423, 060424, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061502, 061602, 061701, 062401, 062601, 062701, 063001, 063201, 070118, 070119, 070203, 080211, 080801, 090121, 090122, 090130, 090601, 090701, 100111, 100118, 100120, 100122, 100126, 100127, 100303, 101201, 101301"
"NO2_1994",FALSE,FALSE,TRUE,"010102, 030115, 030118, 040203, 040206, 050102, 050103, 050104, 050109, 050110, 050113, 050115, 050116, 050119, 050120, 050203, 050307, 050309, 060104, 060204, 060403, 060410, 060413, 060415, 060418, 060419, 060421, 060423, 060424, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 061004, 061201, 061302, 061502, 061602, 061701, 062401, 062601, 063001, 063201, 070118, 070119, 070203, 080110, 080211, 090121, 090122, 090601, 090701, 090901, 100120, 100121, 100122, 100126, 100303, 101201, 101301"
"NO2_1995",FALSE,FALSE,TRUE,"030115, 030118, 040203, 040206, 050102, 050103, 050104, 050109, 050110, 050115, 050116, 050120, 060104, 060204, 060403, 060410, 060413, 060419, 060421, 060423, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060901, 060903, 061004, 061201, 061302, 061502, 061602, 061701, 062401, 062601, 062701, 063001, 063201, 063301, 070118, 070119, 070203, 080211, 090121, 090130, 090601, 100120, 100122, 100126, 100127, 100303, 101002, 101201"
"NO2_1996",FALSE,FALSE,TRUE,"030118, 040203, 040206, 050102, 050103, 050104, 050109, 050110, 050113, 050115, 050116, 050119, 050120, 050121, 050123, 050203, 050307, 050309, 052601, 060104, 060204, 060410, 060413, 060421, 060425, 060511, 060512, 060513, 060607, 060707, 060807, 060903, 061004, 061201, 061302, 061502, 061602, 061701, 062401, 063001, 063301, 070118, 080110, 080211, 090122, 090130, 090218, 090701, 090901, 100111, 100122, 100126, 100303, 101101, 101201, 101301, 101401"
"NO2_1997",FALSE,FALSE,TRUE,"010102, 040203, 040206, 050102, 050103, 050104, 050110, 050113, 050115, 050116, 050119, 050121, 050307, 050309, 060104, 060204, 060410, 060421, 060511, 060512, 060513, 060515, 060607, 060707, 060807, 060903, 061004, 061201, 061302, 061502, 061701, 062401, 062701, 063001, 063201, 063301, 070118, 070119, 070203, 080211, 090121, 090130, 090601, 090701, 090901, 091401, 100120, 100122, 100126, 100128, 100132, 100303, 101301"
"NO2_1998",FALSE,FALSE,TRUE,"010102, 040203, 040206, 040302, 050102, 050103, 050109, 050110, 050113, 050115, 050116, 050126, 050128, 050204, 050307, 050308, 050309, 051802, 052601, 054703, 060101, 060104, 060204, 060413, 060423, 060511, 060512, 060513, 060607, 060707, 060807, 060903, 061004, 061302, 061502, 061602, 062401, 062601, 063001, 063201, 070118, 070119, 070203, 080110, 080211, 090121, 090122, 090701, 091301, 091401, 091501, 091601, 100124, 100126, 100132, 100202, 100304, 100402, 100701, 101202, 101401, 101501, 102701"
"NO2_1999",FALSE,FALSE,TRUE,"010102, 040103, 040203, 040206, 040302, 050102, 050103, 050109, 050110, 050113, 050116, 050121, 050126, 050128, 050130, 050204, 050308, 050309, 051802, 052601, 054703, 055301, 060101, 060104, 060203, 060204, 060423, 060424, 060512, 060513, 060607, 060707, 060807, 061004, 061201, 061302, 061502, 061602, 062601, 062701, 063001, 063301, 070118, 070119, 070203, 080110, 080211, 090121, 090122, 090601, 090701, 090702, 090801, 091301, 091401, 091501, 091601, 091801, 100126, 100127, 100132, 100202, 100304, 100402, 100701, 101003, 101202, 101401, 101501, 102301, 102401, 102701, 104301, 119002"
"NO2_2000",FALSE,FALSE,TRUE,"010102, 030118, 040103, 040203, 040206, 040302, 050102, 050103, 050104, 050109, 050110, 050113, 050115, 050116, 050121, 050126, 050128, 050204, 050308, 050309, 051802, 052601, 054703, 055301, 060101, 060104, 060203, 060211, 060513, 060607, 061004, 061201, 061602, 061701, 062701, 063001, 063201, 063301, 070119, 070203, 080211, 090121, 090122, 090302, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100118, 100125, 100126, 100132, 100202, 100304, 100402, 100701, 101003, 101101, 101202, 101401, 101501, 102301, 102401, 102701, 104301"
"NO2_2001",FALSE,FALSE,TRUE,"010301, 030118, 040103, 040203, 040206, 040302, 050102, 050103, 050104, 050109, 050110, 050113, 050116, 050119, 050121, 050126, 050128, 050204, 050309, 051802, 052601, 054703, 055301, 060101, 060104, 060413, 060421, 060424, 060429, 060512, 060607, 060707, 060807, 060903, 061004, 061104, 061302, 062701, 063001, 063201, 063301, 065101, 070119, 070203, 080110, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100111, 100118, 100121, 100127, 100128, 100134, 100135, 100202, 100304, 100402, 100701, 101101, 101202, 101401, 101501, 102301, 102401, 102801, 104301, 105301, 105601, 119003"
"NO2_2002",FALSE,FALSE,TRUE,"010102, 010301, 010401, 030118, 040103, 040203, 040206, 040208, 040302, 050103, 050109, 050110, 050113, 050116, 050119, 050121, 050126, 050128, 050204, 050309, 051802, 052601, 054703, 055301, 060104, 060204, 060607, 060707, 060807, 060903, 061004, 061104, 061502, 061602, 063001, 070119, 070203, 080110, 080211, 090122, 090222, 090601, 090701, 090702, 090801, 091201, 091301, 091401, 091501, 091601, 091701, 091801, 091901, 100110, 100111, 100121, 100126, 100128, 100134, 100135, 100202, 100304, 100307, 100402, 100701, 101003, 101101, 101202, 101401, 101501, 102301, 102401, 102801, 104003, 104301, 105301, 105601, 119003"
