"","year","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
"1",1999,"104301","o3_bcgov","o3_naps_lag_1",0.998779974403843,0.926156407708748,6868.6
"2",2000,"104301","o3_bcgov","o3_naps_lag_1",1,0.939663445873121,7775.8
"3",2001,"104301","o3_bcgov","o3_naps_lag_1",0.998981309918959,0.939388957271324,7334.6
"4",2003,"101701","o3_bcgov","o3_naps_lag_1",1,0.9452037876902,6737
"5",2004,"101701","o3_bcgov","o3_naps_lag_1",1,0.940004691196107,8122.6
"6",2005,"101803","o3_bcgov","o3_naps_lag_1",0.999687402244411,0.941548501177938,4546.2
"7",2006,"101803","o3_bcgov","o3_naps_lag_1",1,0.952173778056455,7748.2
"8",2007,"101803","o3_bcgov","o3_naps_lag_1",1,0.95282915181261,6897.2
"9",2009,"100110","o3_bcgov","o3_naps_lag_2",0.999605291287893,0.826868049599918,8434.8
"10",2009,"100111","o3_bcgov","o3_naps_lag_2",0.999713666215002,0.833716702090232,8360.4
"11",2009,"100118","o3_bcgov","o3_naps_lag_2",0.999434051057467,0.831527158187375,8450.8
"12",2009,"100119","o3_bcgov","o3_naps_lag_2",0.999257989820796,0.83662338793035,8463
"13",2009,"100134","o3_bcgov","o3_naps_lag_2",0.99917994437193,0.842364257593018,8458
"14",2009,"100135","o3_bcgov","o3_naps_lag_2",0.999552832948372,0.841045240149286,8331.6
"15",2009,"101003","o3_bcgov","o3_naps_lag_2",0.999911900169245,0.852563562606042,8262
"16",2009,"101101","o3_bcgov","o3_naps_lag_2",0.999765101284001,0.847176002762479,8405.4
"17",2009,"101301","o3_bcgov","o3_naps_lag_2",0.999757574308696,0.870151480814693,8396.4
"18",2009,"101401","o3_bcgov","o3_naps_lag_2",0.999847793913398,0.86720659744151,8231.6
"19",2009,"101501","o3_bcgov","o3_naps_lag_2",0.999363550519086,0.859489416378002,8418.4
"20",2010,"100140","o3_bcgov","o3_naps_lag_1",1,0.933733822246546,5398.8
"21",2011,"100140","o3_bcgov","o3_naps_lag_1",1,0.950061528934608,8480.2
"22",2012,"100140","o3_bcgov","o3_naps_lag_1",1,0.935599512282015,8464.4
"23",2012,"101005","o3_bcgov","o3_naps_lag_1",1,0.945232748180806,4684
"24",2013,"100140","o3_bcgov","o3_naps_lag_1",1,0.947942377816778,8400.8
"25",2013,"101005","o3_bcgov","o3_naps_lag_1",1,0.954803478481407,8389.2
"26",2014,"100118","o3_bcgov","o3_naps_lag_1",0.999996783543485,0.938359582403151,3190.2
"27",2014,"101003","o3_bcgov","o3_naps_lag_1",1,0.949129459476863,8270.6
"28",2014,"101101","o3_bcgov","o3_naps_lag_1",1,0.949010972371706,7158.2
"29",2014,"103602","o3_bcgov","o3_naps_lag_1",1,0.926832619210267,3385
"30",2015,"105504","o3_bcgov","o3_naps_lag_1",1,0.954626497688083,7124.4
"31",2016,"105504","o3_bcgov","o3_naps_lag_1",0.999801793731868,0.948813147034215,7072.8
"32",2017,"105504","o3_bcgov","o3_naps_lag_1",0.999777966665463,0.939287890945643,7886.2
"33",2018,"104301","o3_bcgov","o3_naps_lag_1",0.999864784161427,0.942652755529004,7784.2
"34",2018,"105504","o3_bcgov","o3_naps_lag_1",0.999819141567248,0.95028131334522,7821.6
"35",2019,"104301","o3_bcgov","o3_naps_lag_1",0.999833402156881,0.937464932273298,7716
"36",2019,"105504","o3_bcgov","o3_naps_lag_1",0.999817303807632,0.949232334971482,7220.6
"37",2020,"104301","o3_bcgov","o3_naps_lag_1",0.999853771847641,0.951302066353852,7427.8
"38",2020,"104304","o3_bcgov","o3_naps_lag_1",0.99978986301114,0.963878883243911,7793.6
"39",2020,"105504","o3_bcgov","o3_naps_lag_1",0.999757966891406,0.93963954484021,6015.4
"40",2021,"104301","o3_bcgov","o3_naps_lag_1",0.999815511403468,0.935229816799645,7668.2
"41",2021,"104304","o3_bcgov","o3_naps_lag_1",0.999793355443446,0.952517219520801,7650.4
"42",2021,"105504","o3_bcgov","o3_naps_lag_1",0.999726691551796,0.937923734028789,7247.4
"43",2022,"104301","o3_bcgov","o3_naps_lag_1",0.999824042393961,0.941956242728885,7671.8
"44",2022,"105504","o3_bcgov","o3_naps_lag_1",0.999760159709551,0.944882940210202,7453
"45",2023,"104301","o3_bcgov","o3_naps_lag_1",0.999879634699243,0.950817537890861,7704.2
"46",2023,"105504","o3_bcgov","o3_naps_lag_1",0.999811297501852,0.945378954631801,7779.4
