"year","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2000,"070118","no2_praries_lag_1","no2_naps",0.999117069877714,0.910523722036872,7731.2
2000,"070119","no2_praries_lag_1","no2_naps",0.978235096571185,0.888448538919068,7567
2000,"070203","no2_praries_lag_1","no2_naps",0.994028049784219,0.877789793613562,6751.8
2000,"080110","no2_praries","no2_naps",1,1,4077.4
2000,"080211","no2_praries","no2_naps",1,1,3377.2
2001,"070118","no2_praries_lag_1","no2_naps",1,0.911717825720419,7694
2001,"070119","no2_praries_lag_1","no2_naps",1,0.899796196728674,7418.6
2001,"070203","no2_praries_lag_1","no2_naps",1,0.847261436107831,7617.2
2001,"080110","no2_praries","no2_naps",1,1,7877.8
2002,"070118","no2_praries_lag_1","no2_naps",1,0.906774716008956,7749.2
2002,"070119","no2_praries_lag_1","no2_naps",0.998978544001913,0.88743447004025,7712.4
2002,"070203","no2_praries_lag_1","no2_naps",1,0.844899180246279,7657.4
2002,"080110","no2_praries","no2_naps",0.24293525290807,0.24293525290807,8635
2002,"080211","no2_praries","no2_naps",0.194330067607264,0.194330067607264,8384.2
2003,"070118","no2_praries_lag_1","no2_naps",1,0.896870834649321,7707.8
2003,"070119","no2_praries_lag_1","no2_naps",1,0.85965134264834,7683.2
2003,"070203","no2_praries_lag_1","no2_naps",1,0.824632730595176,7675.2
2003,"080110","no2_praries","no2_naps",0.999711950942457,0.999711950942457,8655
2003,"080211","no2_praries","no2_naps",0.998567641769123,0.998567641769123,8521.6
2004,"070118","no2_praries_lag_1","no2_naps",1,0.912318528025113,7728.6
2004,"070119","no2_praries_lag_1","no2_naps",1,0.883916175981856,7733.2
2004,"070203","no2_praries_lag_1","no2_naps",1,0.869338673604851,7733.6
2004,"080110","no2_praries","no2_naps",1,1,8521.2
2004,"080211","no2_praries","no2_naps",1,1,8602.4
2005,"070118","no2_praries_lag_1","no2_naps",1,0.931090481797694,7744
2005,"070119","no2_praries_lag_1","no2_naps",1,0.904379049690091,6942.8
2005,"070203","no2_praries_lag_1","no2_naps",1,0.821989776050812,6967.8
2005,"080110","no2_praries","no2_naps",1,1,8578.6
2005,"080211","no2_praries","no2_naps",1,1,8540.6
2005,"080402","no2_praries","no2_naps",1,1,8738.4
2006,"070118","no2_praries_lag_1","no2_naps",1,0.90792454464341,7564
2006,"070119","no2_praries_lag_1","no2_naps",1,0.880845673233308,7707.6
2006,"070203","no2_praries_lag_1","no2_naps",1,0.806678528162457,7667
2006,"080110","no2_praries","no2_naps",0.999792957814947,0.999792957814947,7972
2006,"080211","no2_praries","no2_naps",0.999627150256768,0.999627150256768,8219.4
2006,"080402","no2_praries","no2_naps",0.999606192218284,0.999606192218284,8692.6
2007,"070118","no2_praries_lag_1","no2_naps",1,0.920936243095176,7567.8
2007,"070119","no2_praries_lag_1","no2_naps",0.99992777064185,0.829679924290815,7625.2
2007,"070203","no2_praries_lag_1","no2_naps",1,0.829511702914433,6890.2
2007,"080110","no2_praries","no2_naps",0.999589587582522,0.999589587582522,8716.8
2007,"080211","no2_praries","no2_naps",0.996499364145009,0.996499364145009,7.6
2007,"080402","no2_praries","no2_naps",0.999456597941929,0.999456597941929,8660
2008,"070118","no2_praries_lag_1","no2_naps",1,0.922793837977887,5883.2
2008,"070119","no2_praries_lag_1","no2_naps",1,0.875098006852162,7502.8
2008,"070203","no2_praries_lag_1","no2_naps",1,0.815868313920813,7678
2008,"080110","no2_praries_lag_1","no2_naps",0.992100028786282,0.883567057486015,8769.2
2008,"080211","no2_praries","no2_naps",0.996852637441165,0.996852637441165,8510.2
2008,"080402","no2_praries","no2_naps",0.997424910214501,0.997424910214501,8236.2
2009,"070118","no2_praries_lag_1","no2_naps",1,0.910481002151851,6091
2009,"070119","no2_praries_lag_1","no2_naps",0.999996532796332,0.886200326608723,6988
2009,"070203","no2_praries_lag_1","no2_naps",1,0.852928693342685,6949.2
2009,"080110","no2_praries","no2_naps",0.998078651496066,0.998078651496066,8716.6
