"year","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2000,"o3_praries_lag_1","o3_naps",0.994926438278133,0.954587876620383,28387.2
2001,"o3_praries_lag_1","o3_naps",0.982889733414524,0.962924724384324,38014.4
2002,"o3_praries_lag_1","o3_naps",0.980178921967146,0.963955887400205,39645.4
2003,"o3_praries_lag_1","o3_naps",0.975971803479676,0.967479341125502,40205
2004,"o3_praries_lag_1","o3_naps",0.969569693008043,0.968869952147266,39778.8
2005,"o3_praries","o3_naps",0.971993999322082,0.971993999322082,46727.2
2006,"o3_praries_lag_1","o3_naps",0.976981296762372,0.965270191996292,47220
2007,"o3_praries_lag_1","o3_naps",0.980820727844036,0.960693625913566,38333
2008,"o3_praries_lag_1","o3_naps",0.985225994885462,0.941093317873236,46462
2009,"o3_praries","o3_naps",0.978112699417442,0.978112699417442,51655.2
2010,"o3_praries","o3_naps",0.968955511628415,0.968955511628415,52531.6
2011,"o3_praries","o3_naps",0.975844288236139,0.975844288236139,57324.2
2012,"o3_praries_lag_1","o3_naps",0.972490360924377,0.971620284904419,63533.8
2013,"o3_praries_lag_1","o3_naps",0.974179405575688,0.974074640280013,61246.6
2014,"o3_praries_lag_1","o3_naps",0.977555289807324,0.973536714713758,55901.8
2015,"o3_praries","o3_naps",0.977740400721968,0.977740400721968,47125.2
2016,"o3_praries","o3_naps",0.97645616751075,0.97645616751075,47767.4
2017,"o3_praries","o3_naps",0.935913984991407,0.935913984991407,57708.2
2018,"o3_praries","o3_naps",0.988139707895155,0.988139707895155,59222.6
2019,"o3_praries","o3_naps",0.992564557761546,0.992564557761546,49430.4
2020,"o3_praries","o3_naps",0.958240781617174,0.958240781617174,50418.2
2021,"o3_praries","o3_naps",0.999776845802361,0.999776845802361,43084.2
2022,"o3_praries","o3_naps",0.99971778050104,0.99971778050104,43478
2023,"o3_praries","o3_naps",0.993839143574618,0.993839143574618,51967
2024,"o3_praries","o3_naps",0.921913685925641,0.921913685925641,44
