"year","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2000,"070118","o3_praries_lag_1","o3_naps",0.999587972164332,0.934073018584866,7689
2000,"070119","o3_praries_lag_1","o3_naps",0.998785357068341,0.928114732949054,7674.6
2000,"070203","o3_praries_lag_1","o3_naps",0.997025022928912,0.93933268362054,7642.2
2000,"080110","o3_praries","o3_naps",1,1,4078
2000,"080211","o3_praries","o3_naps",1,1,1303.4
2001,"070118","o3_praries_lag_1","o3_naps",1,0.942470946952273,7656
2001,"070119","o3_praries_lag_1","o3_naps",1,0.931935380875596,7220.2
2001,"070203","o3_praries_lag_1","o3_naps",1,0.930967648141863,7690
2001,"080110","o3_praries","o3_naps",1,1,8309.6
2001,"080211","o3_praries","o3_naps",1,1,7138.6
2002,"070118","o3_praries_lag_1","o3_naps",1,0.932485017599643,7374.6
2002,"070119","o3_praries_lag_1","o3_naps",0.999875049518022,0.936039794201155,7696.8
2002,"070203","o3_praries_lag_1","o3_naps",0.993079604053729,0.933378094659321,7666.4
2002,"080110","o3_praries","o3_naps",1,1,8437.4
2002,"080211","o3_praries","o3_naps",1,1,8470.2
2003,"070118","o3_praries_lag_1","o3_naps",1,0.946179365692512,7683.2
2003,"070119","o3_praries_lag_1","o3_naps",1,0.943799264608985,7691.2
2003,"070203","o3_praries_lag_1","o3_naps",0.99999819532546,0.932610983285854,7663.2
2003,"080110","o3_praries","o3_naps",1,1,8650.8
2003,"080211","o3_praries","o3_naps",1,1,8516.6
2004,"070118","o3_praries_lag_1","o3_naps",1,0.942985601925414,7539
2004,"070119","o3_praries_lag_1","o3_naps",1,0.938069965276892,7743.2
2004,"070203","o3_praries_lag_1","o3_naps",1,0.943050046269674,7397.2
2004,"080110","o3_praries","o3_naps",1,1,8538
2004,"080211","o3_praries","o3_naps",1,1,8561.4
2005,"070118","o3_praries_lag_1","o3_naps",1,0.946049252894225,7714
2005,"070119","o3_praries_lag_1","o3_naps",1,0.941861286610707,6939
2005,"070203","o3_praries_lag_1","o3_naps",1,0.930608827303168,6073
2005,"080110","o3_praries","o3_naps",1,1,8681.8
2005,"080211","o3_praries","o3_naps",1,1,8579.2
2005,"080402","o3_praries","o3_naps",1,1,8740.2
2006,"070118","o3_praries_lag_1","o3_naps",0.99963911838555,0.936038295911249,7656.2
2006,"070119","o3_praries_lag_1","o3_naps",1,0.938912587467977,7711.6
2006,"070203","o3_praries_lag_1","o3_naps",1,0.926451458014867,7252.4
2006,"080110","o3_praries","o3_naps",0.999710441885095,0.999710441885095,8082.2
2006,"080211","o3_praries","o3_naps",0.999838585934621,0.999838585934621,7843
2006,"080402","o3_praries","o3_naps",0.999709178608738,0.999709178608738,8674.6
2007,"070118","o3_praries_lag_1","o3_naps",1,0.94411827356408,7197.2
2007,"070119","o3_praries_lag_1","o3_naps",1,0.936428558401882,7528.6
2007,"070203","o3_praries_lag_1","o3_naps",1,0.931530969054113,6894
2007,"080110","o3_praries","o3_naps",1,1,7.6
2007,"080211","o3_praries","o3_naps",0.999749846635285,0.999749846635285,8048.8
2007,"080402","o3_praries","o3_naps",0.999678198278466,0.999678198278466,8656.8
2008,"070118","o3_praries_lag_1","o3_naps",1,0.947337105127137,6521.6
2008,"070119","o3_praries_lag_1","o3_naps",1,0.940928271402254,7710.6
2008,"070203","o3_praries_lag_1","o3_naps",1,0.834790380591604,6976.8
2008,"080110","o3_praries_lag_1","o3_naps",0.997067368513221,0.952614658607431,8767.4
2008,"080211","o3_praries","o3_naps",0.998856129679989,0.998856129679989,8077.4
2008,"080402","o3_praries","o3_naps",0.99767059107494,0.99767059107494,8408.2
2009,"070118","o3_praries_lag_1","o3_naps",1,0.951970447075617,6177
2009,"070119","o3_praries_lag_1","o3_naps",0.999431032004061,0.952120216518476,6885.4
2009,"070203","o3_praries_lag_1","o3_naps",1,0.939537519087846,7089.6
2009,"080110","o3_praries","o3_naps",0.998940215011572,0.998940215011572,8719.4
2009,"080211","o3_praries","o3_naps",0.999089166442289,0.999089166442289,8050.6
2009,"080402","o3_praries","o3_naps",0.998842608968882,0.998842608968882,7744
2009,"081001","o3_praries","o3_naps",0.998173432990423,0.998173432990423,6989.2
2010,"070118","o3_praries_lag_1","o3_naps",1,0.92708941891927,7688
2010,"070119","o3_praries_lag_1","o3_naps",1,0.940921281367544,7701.6
2010,"070203","o3_praries_lag_1","o3_naps",1,0.936437192610407,6443.8
2010,"080110","o3_praries","o3_naps",0.998698343695345,0.998698343695345,7994.8
2010,"080211","o3_praries","o3_naps",0.99903005960187,0.99903005960187,8095.8
2010,"080402","o3_praries","o3_naps",0.998634677130979,0.998634677130979,7636.4
2010,"081001","o3_praries","o3_naps",0.998860165076669,0.998860165076669,6971.2
2011,"070118","o3_praries_lag_1","o3_naps",0.999983508914405,0.953330957269922,8560.6
2011,"070119","o3_praries_lag_1","o3_naps",0.999797046277383,0.938688989305972,8292.2
2011,"070203","o3_praries_lag_1","o3_naps",0.999814498728881,0.937414110013433,8287.4
2011,"080110","o3_praries","o3_naps",0.999841835165964,0.999841835165964,7941.6
2011,"080211","o3_praries","o3_naps",0.99984876791299,0.99984876791299,8628.8
2011,"080402","o3_praries","o3_naps",0.999808294082812,0.999808294082812,7315.2
2011,"081001","o3_praries","o3_naps",0.999748303682642,0.999748303682642,8298.4
2012,"070118","o3_praries_lag_1","o3_naps",0.99984674120394,0.946826262911353,8547.8
2012,"070119","o3_praries_lag_1","o3_naps",0.999999555692513,0.944388617654755,8747.6
2012,"070203","o3_praries_lag_1","o3_naps",1,0.933490813457594,8755.4
2012,"070301","o3_praries_lag_1","o3_naps",1,0.968135818814722,5736.8
2012,"080110","o3_praries","o3_naps",0.999854183158333,0.999854183158333,8492.8
2012,"080211","o3_praries","o3_naps",0.999782913841292,0.999782913841292,8267.4
2012,"080402","o3_praries","o3_naps",0.999667761057584,0.999667761057584,7437
2012,"081001","o3_praries","o3_naps",0.999768057176799,0.999768057176799,7549
2013,"070118","o3_praries_lag_1","o3_naps",0.999858847721362,0.951642279576252,8314.2
2013,"070119","o3_praries_lag_1","o3_naps",0.999999571177418,0.949273004948276,8291.4
2013,"070203","o3_praries_lag_1","o3_naps",1,0.940743371135396,7926.6
