"year_month","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2000-01-01,"070118","o3_praries_lag_1","o3_naps",0.998280013330659,0.921116608878122,656.2
2000-01-01,"070119","o3_praries_lag_1","o3_naps",0.999386260593369,0.905446841582635,648.6
2000-01-01,"070203","o3_praries_lag_1","o3_naps",0.985303925776519,0.942625502952749,653.6
2000-01-01,"080110","o3_praries","o3_naps",1,1,581.2
2000-01-01,"080211","o3_praries","o3_naps",1,1,297.2
2000-02-01,"070118","o3_praries_lag_1","o3_naps",0.998300185847604,0.893879255720172,617
2000-02-01,"070119","o3_praries_lag_1","o3_naps",0.991752654193153,0.881529778471146,610.4
2000-02-01,"070203","o3_praries_lag_1","o3_naps",0.987342597078101,0.923949415730509,591
2000-02-01,"080110","o3_praries","o3_naps",1,1,627.2
2000-03-01,"070118","o3_praries_lag_1","o3_naps",0.999033314867839,0.915467077525334,583.6
2000-03-01,"070119","o3_praries_lag_1","o3_naps",0.997453406300496,0.911155940696253,643.6
2000-03-01,"070203","o3_praries_lag_1","o3_naps",0.981393638280468,0.947929592822471,643.8
2000-03-01,"080110","o3_praries","o3_naps",1,1,740.4
2000-04-01,"070118","o3_praries_lag_1","o3_naps",0.9999884193735,0.894833326766542,637.6
2000-04-01,"070119","o3_praries_lag_1","o3_naps",0.999977755803561,0.901550946427606,636.4
2000-04-01,"070203","o3_praries_lag_1","o3_naps",0.999597410788477,0.917322519832556,586.4
2000-04-01,"080110","o3_praries","o3_naps",1,1,714.6
2000-05-01,"070118","o3_praries_lag_1","o3_naps",1,0.920649682083991,654.8
2000-05-01,"070119","o3_praries_lag_1","o3_naps",1,0.913478897175368,646.4
2000-05-01,"070203","o3_praries_lag_1","o3_naps",1,0.919735066073405,651
2000-05-01,"080110","o3_praries","o3_naps",1,1,738.6
2000-05-01,"080211","o3_praries","o3_naps",1,1,588.4
2000-06-01,"070118","o3_praries_lag_1","o3_naps",1,0.917173745492502,635.4
2000-06-01,"070119","o3_praries_lag_1","o3_naps",1,0.914731745304208,630.8
2000-06-01,"070203","o3_praries_lag_1","o3_naps",1,0.92896559676683,633.4
2000-06-01,"080110","o3_praries","o3_naps",1,1,676
2000-06-01,"080211","o3_praries","o3_naps",1,1,417.8
