"year","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2001,"080110","pm25_praries","pm25_naps",0.99936485720992,0.99936485720992,8304.6
2002,"080110","pm25_praries","pm25_naps",0.150542107718035,0.150542107718035,8594.8
2003,"080110","pm25_praries","pm25_naps",0.99939091783566,0.99939091783566,8535.8
2003,"080211","pm25_praries","pm25_naps",0.999220262807918,0.999220262807918,4133.2
2004,"080110","pm25_praries","pm25_naps",0.998926650268173,0.998926650268173,8466.2
2004,"080211","pm25_praries","pm25_naps",0.998958810822779,0.998958810822779,8587
2005,"080110","pm25_praries","pm25_naps",0.998821508811644,0.998821508811644,8630.4
2005,"080211","pm25_praries","pm25_naps",0.998128401916929,0.998128401916929,8388.2
2006,"080110","pm25_praries","pm25_naps",0.999243901211222,0.999243901211222,8514.8
2006,"080211","pm25_praries","pm25_naps",0.999120349133189,0.999120349133189,8238.8
2006,"080402","pm25_praries","pm25_naps",0.999408740315298,0.999408740315298,6769.2
2007,"080110","pm25_praries","pm25_naps",0.998852843162049,0.998852843162049,8503
2007,"080211","pm25_praries","pm25_naps",0.998660913423843,0.998660913423843,8604.4
2007,"080402","pm25_praries","pm25_naps",0.998401970576696,0.998401970576696,8247.6
2008,"080110","pm25_praries","pm25_naps",0.998826471495671,0.998826471495671,8633.2
2008,"080211","pm25_praries","pm25_naps",0.998648535927284,0.998648535927284,8080.8
2008,"080402","pm25_praries","pm25_naps",0.998559759730075,0.998559759730075,6534.2
2009,"070118","pm25_praries_lag_1","pm25_naps",0.999201693408663,0.766533423647143,736.6
2009,"080110","pm25_praries","pm25_naps",0.999015122472085,0.999015122472085,7636
2009,"080211","pm25_praries","pm25_naps",0.998681505496463,0.998681505496463,8578.4
2009,"080402","pm25_praries","pm25_naps",0.998129725568407,0.998129725568407,7665
2010,"080110","pm25_praries","pm25_naps",1,1,8550.6
2010,"080211","pm25_praries","pm25_naps",0.998785878806377,0.998785878806377,8325.2
2010,"080402","pm25_praries","pm25_naps",0.999636340298294,0.999636340298294,8096.4
2011,"070118","pm25_praries_lag_1","pm25_naps",0.999141975997253,0.74944687923241,8718.6
2011,"080110","pm25_praries","pm25_naps",1,1,8245
2011,"080211","pm25_praries","pm25_naps",1,1,7470.2
2011,"080402","pm25_praries","pm25_naps",0.997276982082956,0.997276982082956,3739
2011,"081001","pm25_praries","pm25_naps",0.998848589683302,0.998848589683302,4848.8
2012,"070118","pm25_praries_lag_1","pm25_naps",0.999998426031259,0.912876734397002,6832.6
2012,"080110","pm25_praries","pm25_naps",1,1,8070
2012,"080211","pm25_praries","pm25_naps",1,1,7998.2
2012,"080402","pm25_praries","pm25_naps",0.999011268720172,0.999011268720172,2814.4
2012,"081001","pm25_praries","pm25_naps",0.998594868800759,0.998594868800759,2823.2
2013,"070118","pm25_praries_lag_1","pm25_naps",1,0.856008685244512,8025.2
2013,"080110","pm25_praries","pm25_naps",1,1,8272.2
2013,"080211","pm25_praries","pm25_naps",1,1,7524.2
2013,"080402","pm25_praries","pm25_naps",1,1,7744.8
2014,"070118","pm25_praries_lag_1","pm25_naps",1,0.93169541144866,7298.4
2014,"070119","pm25_praries","pm25_naps_lag_2",0.523287002997133,0.443729409421424,387.2
2014,"080110","pm25_praries","pm25_naps",1,1,3
2014,"080211","pm25_praries","pm25_naps",1,1,8525.4
2014,"080402","pm25_praries","pm25_naps",1,1,8433.4
2014,"081001","pm25_praries","pm25_naps",1,1,8135.2
2015,"070118","pm25_praries_lag_1","pm25_naps",1,0.959285788454196,8463.8
2015,"080211","pm25_praries","pm25_naps",1,1,8462.4
2015,"080402","pm25_praries","pm25_naps",1,1,5478
2015,"081001","pm25_praries","pm25_naps",1,1,6229.8
2016,"070118","pm25_praries_lag_1","pm25_naps",1,0.929466176809616,7952.4
2016,"080211","pm25_praries","pm25_naps",1,1,7992.2
2016,"080402","pm25_praries","pm25_naps",1,1,7902.4
2016,"081001","pm25_praries","pm25_naps",0.999964074034616,0.999964074034616,7339
2017,"070118","pm25_praries_lag_1","pm25_naps",0.999985673306235,0.966420025476375,8511.2
2017,"080211","pm25_praries","pm25_naps",1,1,8626.8
2017,"080402","pm25_praries","pm25_naps",1,1,8160.4
2017,"080502","pm25_praries","pm25_naps",0.663685810694049,0.663685810694049,2387.8
2017,"081001","pm25_praries","pm25_naps",1,1,8313.2
2017,"082002","pm25_praries","pm25_naps",0.999992488748934,0.999992488748934,7070
2017,"090120","pm25_praries","pm25_naps",1,1,8636.8
2017,"090121","pm25_praries","pm25_naps",1,1,8631.8
2017,"090130","pm25_praries","pm25_naps",1,1,7836.8
2017,"090132","pm25_praries","pm25_naps",0.836485672899657,0.836485672899657,18742.6
2017,"090135","pm25_praries","pm25_naps",1,1,8651.2
2017,"090136","pm25_praries","pm25_naps",1,1,8706.6
2017,"090229","pm25_praries","pm25_naps",1,1,8693.2
2017,"090230","pm25_praries","pm25_naps",1,1,8706
2017,"090250","pm25_praries","pm25_naps",0.999913060466581,0.999913060466581,6483.2
2017,"090302","pm25_praries","pm25_naps",1,1,8674.2
2017,"090304","pm25_praries","pm25_naps",1,1,8678
2017,"090402","pm25_praries","pm25_naps",1,1,7969.2
2017,"090502","pm25_praries","pm25_naps",1,1,8665.2
2017,"090601","pm25_praries","pm25_naps",1,1,8215
2017,"090607","pm25_praries","pm25_naps",1,1,8637.2
2017,"090608","pm25_praries","pm25_naps",1,1,1654.6
2017,"090609","pm25_praries","pm25_naps",1,1,8656
2017,"090701","pm25_praries","pm25_naps",1,1,8572.8
2017,"090702","pm25_praries","pm25_naps",1,1,8689.6
2017,"090801","pm25_praries","pm25_naps",1,1,8564.2
2017,"090806","pm25_praries","pm25_naps",1,1,8628.2
2017,"090807","pm25_praries","pm25_naps",1,1,8646.6
2017,"090808","pm25_praries","pm25_naps",1,1,8664.6
2017,"091101","pm25_praries","pm25_naps",1,1,8545.8
2017,"091301","pm25_praries","pm25_naps",1,1,8737.2
2017,"091501","pm25_praries","pm25_naps",1,1,729.6
2017,"091701","pm25_praries","pm25_naps",1,1,8214
2017,"091801","pm25_praries","pm25_naps",1,1,8434.8
2017,"091901","pm25_praries","pm25_naps",1,1,8672.2
2017,"092001","pm25_praries","pm25_naps",0.999972183811144,0.999972183811144,731.6
2017,"092201","pm25_praries","pm25_naps",1,1,8664.4
2017,"092801","pm25_praries","pm25_naps",1,1,8312
2017,"092901","pm25_praries","pm25_naps",1,1,8586.8
2017,"093001","pm25_praries","pm25_naps",1,1,729.8
2017,"093101","pm25_praries","pm25_naps",1,1,8676.8
2017,"093202","pm25_praries","pm25_naps",1,1,8679.4
2017,"093901","pm25_praries","pm25_naps",1,1,8530.6
2017,"094001","pm25_praries","pm25_naps",0.999973479797477,0.999973479797477,728.8
2017,"094301","pm25_praries_lag_1","pm25_naps",1,0.926952923021826,7718
2017,"094401","pm25_praries","pm25_naps",1,1,7593.6
2017,"094601","pm25_praries","pm25_naps",1,1,8643.2
2018,"070118","pm25_praries_lag_1","pm25_naps",1,0.898819796310486,7539.6
2018,"080211","pm25_praries","pm25_naps",1,1,8668.8
2018,"080402","pm25_praries","pm25_naps",0.99995252858322,0.99995252858322,8628
2018,"080502","pm25_praries","pm25_naps",0.999200240306963,0.999200240306963,8707.6
2018,"081001","pm25_praries","pm25_naps",1,1,8001.8
2018,"082002","pm25_praries","pm25_naps",0.999999728473624,0.999999728473624,8623
2018,"090120","pm25_praries","pm25_naps",1,1,8636.6
2018,"090121","pm25_praries","pm25_naps",1,1,8569.8
2018,"090130","pm25_praries","pm25_naps",1,1,8519.2
2018,"090132","pm25_praries","pm25_naps",0.939313335817997,0.939313335817997,22517.6
2018,"090135","pm25_praries","pm25_naps",1,1,7418.2
2018,"090136","pm25_praries","pm25_naps",1,1,8615.2
2018,"090229","pm25_praries","pm25_naps",1,1,7968
2018,"090230","pm25_praries","pm25_naps",1,1,8709
2018,"090235","pm25_praries","pm25_naps",1,1,5088
2018,"090250","pm25_praries","pm25_naps",1,1,8692.2
2018,"090302","pm25_praries","pm25_naps",1,1,8693.2
2018,"090304","pm25_praries","pm25_naps",1,1,8634
2018,"090402","pm25_praries","pm25_naps",1,1,8720
2018,"090502","pm25_praries","pm25_naps",1,1,8235.6
2018,"090601","pm25_praries","pm25_naps",1,1,8468.8
2018,"090607","pm25_praries","pm25_naps",1,1,8702.4
2018,"090608","pm25_praries","pm25_naps",1,1,8746.4
2018,"090609","pm25_praries","pm25_naps",1,1,8683.2
2018,"090701","pm25_praries","pm25_naps",1,1,8538.2
2018,"090702","pm25_praries","pm25_naps",1,1,8644
2018,"090801","pm25_praries","pm25_naps",1,1,8532.4
2018,"090805","pm25_praries","pm25_naps",1,1,741
2018,"090806","pm25_praries","pm25_naps",0.999628907546751,0.999628907546751,8964.6
2018,"090807","pm25_praries","pm25_naps",1,1,8419
2018,"090808","pm25_praries","pm25_naps",1,1,8535.2
2018,"091101","pm25_praries","pm25_naps",1,1,7817.4
2018,"091301","pm25_praries","pm25_naps",1,1,7644.6
2018,"091501","pm25_praries","pm25_naps",1,1,4326.2
2018,"091701","pm25_praries","pm25_naps",1,1,5389.6
2018,"091801","pm25_praries","pm25_naps",0.998833375953714,0.998833375953714,12347.2
2018,"091901","pm25_praries","pm25_naps",1,1,8623.4
2018,"092001","pm25_praries","pm25_naps",0.999995940026554,0.999995940026554,4303.8
2018,"092201","pm25_praries","pm25_naps",1,1,8646.6
2018,"092801","pm25_praries","pm25_naps",1,1,8226
2018,"092901","pm25_praries","pm25_naps",1,1,8384.2
2018,"093001","pm25_praries","pm25_naps",0.999985412053174,0.999985412053174,4313.2
2018,"093101","pm25_praries","pm25_naps",1,1,8574
2018,"093202","pm25_praries","pm25_naps",1,1,8713.6
2018,"093901","pm25_praries","pm25_naps",1,1,8668.8
2018,"094001","pm25_praries","pm25_naps",0.999996840262589,0.999996840262589,4287.8
2018,"094301","pm25_praries","pm25_naps",0.999999064016164,0.999999064016164,8303.4
2018,"094401","pm25_praries","pm25_naps",1,1,8669.2
2018,"094601","pm25_praries","pm25_naps",1,1,8598.8
2019,"070118","pm25_praries_lag_1","pm25_naps",0.982376655665604,0.943939185894957,8647.2
2019,"080211","pm25_praries","pm25_naps",0.999412518439106,0.999412518439106,8624.4
2019,"080402","pm25_praries","pm25_naps",0.999693156265656,0.999693156265656,8731.2
2019,"080502","pm25_praries","pm25_naps",0.998267061093403,0.998267061093403,8716.2
2019,"081001","pm25_praries","pm25_naps",1,1,8612.2
2019,"082002","pm25_praries","pm25_naps",0.999220722275887,0.999220722275887,8185
2019,"090120","pm25_praries","pm25_naps",1,1,8501.6
2019,"090121","pm25_praries","pm25_naps",1,1,8607.8
2019,"090130","pm25_praries","pm25_naps",1,1,7974
2019,"090132","pm25_praries","pm25_naps",0.892440257569813,0.892440257569813,28740.2
2019,"090135","pm25_praries","pm25_naps",1,1,8614
2019,"090136","pm25_praries","pm25_naps",1,1,8686.6
2019,"090229","pm25_praries","pm25_naps",1,1,8673.8
2019,"090230","pm25_praries","pm25_naps",1,1,8629.8
2019,"090235","pm25_praries","pm25_naps",1,1,8688
2019,"090250","pm25_praries","pm25_naps",1,1,8664
2019,"090302","pm25_praries","pm25_naps",1,1,8621.6
2019,"090304","pm25_praries","pm25_naps",1,1,8711.6
2019,"090402","pm25_praries","pm25_naps",1,1,8621.2
2019,"090502","pm25_praries","pm25_naps",1,1,8448.4
2019,"090601","pm25_praries","pm25_naps",1,1,8576.8
2019,"090607","pm25_praries","pm25_naps",1,1,8696.2
2019,"090608","pm25_praries","pm25_naps",1,1,8623.4
2019,"090609","pm25_praries","pm25_naps",1,1,8702.4
2019,"090701","pm25_praries","pm25_naps",1,1,8449.8
2019,"090702","pm25_praries","pm25_naps",0.999277597066988,0.999277597066988,10465
2019,"090801","pm25_praries","pm25_naps",0.998801383759567,0.998801383759567,12385.6
2019,"090805","pm25_praries","pm25_naps",0.999847775235128,0.999847775235128,8431.2
2019,"090806","pm25_praries","pm25_naps",0.997556705380574,0.997556705380574,16983.6
2019,"090807","pm25_praries","pm25_naps",0.99842736899262,0.99842736899262,10037.4
2019,"090808","pm25_praries","pm25_naps",0.992306302423506,0.992306302423506,12443.6
2019,"091101","pm25_praries","pm25_naps",1,1,8619.4
2019,"091301","pm25_praries","pm25_naps",0.999998730790222,0.999998730790222,9792.2
2019,"091501","pm25_praries","pm25_naps",1,1,2184
2019,"091701","pm25_praries","pm25_naps",0.999998652019571,0.999998652019571,8856.2
2019,"091801","pm25_praries","pm25_naps",0.998336428689454,0.998336428689454,14859.4
2019,"091901","pm25_praries","pm25_naps",1,1,8699.6
2019,"092001","pm25_praries","pm25_naps",1,1,2194.2
2019,"092201","pm25_praries","pm25_naps",1,1,8728.4
2019,"092801","pm25_praries","pm25_naps",0.999995066110166,0.999995066110166,10324.6
2019,"092901","pm25_praries","pm25_naps",0.999994353662614,0.999994353662614,9675.8
2019,"093001","pm25_praries","pm25_naps",1,1,2129.2
2019,"093101","pm25_praries","pm25_naps",0.99999643880966,0.99999643880966,9838.2
2019,"093202","pm25_praries","pm25_naps",0.999999112050071,0.999999112050071,10304.2
2019,"093901","pm25_praries","pm25_naps",0.999997944097617,0.999997944097617,9733.4
2019,"094001","pm25_praries","pm25_naps",1,1,2181.8
2019,"094301","pm25_praries","pm25_naps",1,1,8719.6
2019,"094401","pm25_praries","pm25_naps",1,1,8726.2
2019,"094601","pm25_praries","pm25_naps",1,1,8494.8
2020,"070118","pm25_praries_lag_1","pm25_naps",0.999209538232248,0.849273919900875,8018.4
2020,"080211","pm25_praries","pm25_naps",0.998560942373668,0.998560942373668,8443.6
2020,"080402","pm25_praries","pm25_naps",0.999106694614371,0.999106694614371,8680
2020,"080502","pm25_praries","pm25_naps",0.998562582145132,0.998562582145132,8741.2
2020,"081001","pm25_praries","pm25_naps",0.998628545431365,0.998628545431365,8729.6
2020,"082002","pm25_praries","pm25_naps",0.997156254855161,0.997156254855161,8649.2
