"naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
"070118","pm25_praries_lag_1","pm25_naps",0.998101595377006,0.925172221715818,90777
"070119","pm25_praries","pm25_naps_lag_2",0.523287002997133,0.443729409421424,387.2
"080110","pm25_praries","pm25_naps",0.904095826298747,0.904095826298747,108959.6
"080211","pm25_praries","pm25_naps",0.999844298916542,0.999844298916542,171014.6
"080402","pm25_praries","pm25_naps",0.999923922439946,0.999923922439946,133492.2
"080502","pm25_praries","pm25_naps",0.996597617481336,0.996597617481336,54234.6
"081001","pm25_praries","pm25_naps",0.999916480460456,0.999916480460456,88664.4
"082002","pm25_praries","pm25_naps",0.999977760939433,0.999977760939433,58164
"090120","pm25_praries","pm25_naps",1,1,42232.8
"090121","pm25_praries","pm25_naps",1,1,42204.4
"090130","pm25_praries","pm25_naps",1,1,32354.4
"090132","pm25_praries","pm25_naps",0.893445487637841,0.893445487637841,112836.6
"090135","pm25_praries","pm25_naps",1,1,42014.4
"090136","pm25_praries","pm25_naps",1,1,42989.2
"090140","pm25_praries","pm25_naps",1,1,17141.4
"090229","pm25_praries","pm25_naps",1,1,42748.8
"090230","pm25_praries","pm25_naps",1,1,43498.8
"090235","pm25_praries","pm25_naps",1,1,30291.6
"090250","pm25_praries","pm25_naps",0.999986853218994,0.999986853218994,41100.4
"090302","pm25_praries","pm25_naps",1,1,42577.2
"090304","pm25_praries","pm25_naps",1,1,43411.8
"090402","pm25_praries","pm25_naps",1,1,42615.4
"090502","pm25_praries","pm25_naps",1,1,42783.4
"090601","pm25_praries","pm25_naps",1,1,42569.2
"090607","pm25_praries","pm25_naps",1,1,43465
"090608","pm25_praries","pm25_naps",0.999999723985673,0.999999723985673,36359
"090609","pm25_praries","pm25_naps",1,1,43462.8
"090701","pm25_praries","pm25_naps",0.999651492615896,0.999651492615896,45121
"090702","pm25_praries","pm25_naps",0.999706388995061,0.999706388995061,44846.6
"090801","pm25_praries","pm25_naps",0.999598868426322,0.999598868426322,46923
"090805","pm25_praries","pm25_naps",0.999951941034199,0.999951941034199,26532.6
"090806","pm25_praries","pm25_naps",0.997950568779353,0.997950568779353,58183.4
"090807","pm25_praries","pm25_naps",0.998692057441983,0.998692057441983,49455
"090808","pm25_praries","pm25_naps",0.997997858855911,0.997997858855911,51776
"091101","pm25_praries","pm25_naps",1,1,42379.4
"091301","pm25_praries","pm25_naps",0.999999864280851,0.999999864280851,43689
"091501","pm25_praries","pm25_naps",1,1,24496
"091701","pm25_praries","pm25_naps",0.999999822209635,0.999999822209635,40300.4
"091801","pm25_praries","pm25_naps",0.998305702674674,0.998305702674674,57390
"091901","pm25_praries","pm25_naps",1,1,43237.2
"092001","pm25_praries","pm25_naps",0.999998647554625,0.999998647554625,24575.6
"092201","pm25_praries","pm25_naps",1,1,43485
"092801","pm25_praries","pm25_naps",0.999999407546085,0.999999407546085,44367
"092901","pm25_praries","pm25_naps",0.999999654426574,0.999999654426574,44895.4
"093001","pm25_praries","pm25_naps",0.999998211066035,0.999998211066035,23035.8
"093101","pm25_praries","pm25_naps",0.999999756036558,0.999999756036558,44494.4
"093202","pm25_praries","pm25_naps",0.999999896402227,0.999999896402227,45160.6
"093901","pm25_praries","pm25_naps",0.99999949973098,0.99999949973098,44313.2
"094001","pm25_praries","pm25_naps",0.999999129173305,0.999999129173305,24436
"094301","pm25_praries","pm25_naps",0.99256607262154,0.99256607262154,41526.6
"094401","pm25_praries","pm25_naps",1,1,42295.8
"094601","pm25_praries","pm25_naps",1,1,43077.6
