"site_id","prov_terr","city","lat","lng","tz_local","offset_local_standard","offset_local_daylight","years","method_code_PM2.5","pollutants"
"010102","NL","St. John's",47.56038,-52.7115,"America/St_Johns",-3.5,-2.5,"1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005",-999,"O3"
"010102","NL","St. John's",47.56038,-52.7115,"America/St_Johns",-3.5,-2.5,"1990,1991,1992,1993,1994,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005",-999,"NO2"
"010102","NL","St. John's",47.56038,-52.7115,"America/St_Johns",-3.5,-2.5,"1998,1999,2000,2001,2002,2003,2004,2005",706,"PM25"
"010102","NL","St. John's",47.56038,-52.71147,"America/St_Johns",-3.5,-2.5,"2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-999,"O3,NO2"
"010102","NL","St. John's",47.56038,-52.71147,"America/St_Johns",-3.5,-2.5,"2005,2006,2007,2008,2009,2010",706,"PM25"
"010102","NL","St. John's",47.56038,-52.71147,"America/St_Johns",-3.5,-2.5,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",170,"PM25"
"010102","NL","St. John's",47.56038,-52.71147,"America/St_Johns",-3.5,-2.5,"2019,2020,2021,2022,2023",236,"PM25"
"010102","NL","St. John's",47.56038,-52.71147,"America/St_Johns",-3.5,-2.5,"2023",636,"PM25"
"010301","NL","Corner Brook",48.949479,-57.945387,"America/St_Johns",-3.5,-2.5,"2001,2002,2003,2004,2005",-999,"O3,NO2"
"010301","NL","Corner Brook",48.949479,-57.945387,"America/St_Johns",-3.5,-2.5,"2001,2002,2003,2004,2005",706,"PM25"
"010301","NL","Corner Brook",48.94948,-57.94539,"America/St_Johns",-3.5,-2.5,"2002,2003,2005,2006,2007,2008",-999,"NO2"
"010301","NL","Corner Brook",48.94948,-57.94539,"America/St_Johns",-3.5,-2.5,"2002,2005,2006,2007,2008",-999,"O3"
"010301","NL","Corner Brook",48.94948,-57.94539,"America/St_Johns",-3.5,-2.5,"2005,2006,2007,2008",706,"PM25"
"010401","NL","Mount Pearl",47.50513,-52.79476,"America/St_Johns",-3.5,-2.5,"2002,2003,2004,2005,2006,2007,2008,2009,2010",706,"PM25"
"010401","NL","Mount Pearl",47.50513,-52.79476,"America/St_Johns",-3.5,-2.5,"2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-999,"O3,NO2"
"010401","NL","Mount Pearl",47.50513,-52.79476,"America/St_Johns",-3.5,-2.5,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",170,"PM25"
"010401","NL","Mount Pearl",47.50513,-52.79476,"America/St_Johns",-3.5,-2.5,"2020,2021,2022,2023",236,"PM25"
"010401","NL","Mount Pearl",47.50513,-52.79476,"America/St_Johns",-3.5,-2.5,"2023",636,"PM25"
"010501","NL","Grand Falls-Windsor",48.92696,-55.65966,"America/St_Johns",-3.5,-2.5,"2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-999,"O3"
"010501","NL","Grand Falls-Windsor",48.92696,-55.65966,"America/St_Johns",-3.5,-2.5,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",170,"PM25"
"010501","NL","Grand Falls-Windsor",48.92696,-55.65966,"America/St_Johns",-3.5,-2.5,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-999,"NO2"
"010501","NL","Grand Falls-Windsor",48.92696,-55.65966,"America/St_Johns",-3.5,-2.5,"2020,2021,2022,2023",236,"PM25"
"010501","NL","Grand Falls-Windsor",48.92696,-55.65966,"America/St_Johns",-3.5,-2.5,"2023",636,"PM25"
"010601","NL","Happy Valley - Goose Bay",53.306,-60.36314,"America/Goose_Bay",-4,-3,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",-999,"O3"
"010602","NL","Corner Brook",48.95224,-57.92207,"America/St_Johns",-3.5,-2.5,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",170,"PM25"
"010602","NL","Corner Brook",48.95224,-57.92207,"America/St_Johns",-3.5,-2.5,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-999,"O3,NO2"
